id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0008755	Laryngotracheomalacia	ارتخاء الحنجرة والقصبة الهوائية	ارتخاء في الحنجرة والقصبة	تليّن (ضعف في الصلابة) الحنجرة والقصبة الهوائية مما يؤدي إلى انسداد جزئي أو كامل للمجرى التنفسي.
HP:0008756	Bowing of the vocal cords	تقوس الحبال الصوتية	انحناء في الحبال الصوتية	تقوس (انحناء غير طبيعي) في الحبال الصوتية.
HP:0008757	Unilateral vocal cord paralysis	شلل الحبل الصوتي الأحادي	شلل في حبل صوتي واحد	فقدان القدرة على تحريك الحبل الصوتي من جهة واحدة.
HP:0008760	Violent behavior	سلوك عنيف	تصرف عنيف	السلوك والتصرفات، سواء كانت لفظية أو غير لفظية، بما في ذلك على سبيل المثال لا الحصر العدوان اللفظي و/أو الجسدي، الهجمات، التهديدات، التحرش، الترويع، وغيرها من السلوكيات التخريبية بأي شكل أو من خلال أي وسيلة، التي تسبب أو لديها القدرة على التسبب في خوف معقول من الأذى الجسدي من أي فرد أو مجموعة تجاه أي شخص أو ممتلكات. غالباً ما يُعرَف كوصف للفعل العنيف المميز باستخدام القوة الجسدية أو الغضب أو النشاط المفاجئ الشديد.
HP:0032213	Increased urinary renal tubular epithelial cell count	زيادة عدد خلايا الظهارة الأنبوبية الكلوية في البول	زيادة خلايا الظهارة في البول	زيادة في عدد خلايا الظهارة الأنبوبية الكلوية لكل حقل قوي عند تحليل البول.
HP:0032214	Increased urinary transitional epithelial cell count	زيادة عدد خلايا الظهارة الانتقالية في البول	زيادة خلايا الظهارة في البول	زيادة في عدد خلايا الظهارة الانتقالية لكل حقل قوي عند تحليل البول.
HP:0032215	Disseminated cutaneous warts	ثآليل جلدية منتشرة	ثآليل جلدية	وجود ثآليل جلدية متعددة في أجزاء مختلفة من الجسم، مثل الرقبة والجذع والأطراف.
HP:0032216	Lymphocytic infiltration of the colorectal mucosa	ارتشاح لمفاوي في مخاطية القولون والمستقيم	خلايا لمفاوية في القولون	زيادة غير طبيعية في عدد الخلايا اللمفاوية داخل النسيج الطلائي. يمكن ملاحظة هذا الزيادة كعدد كبير من الخلايا اللمفاوية السطحية داخل النسيج الطلائي، كما يُرى (على سبيل المثال) مع صبغة الهيماتوكسيلين والإيوزين في عينة وخز من القولون مأخوذة خلال تنظير القولون.
HP:0032217	Indurated nodule	عقدة متصلبة	تورم صلب على الجلد	عقدة على الجلد تكون صلبة بشكل غير اعتيادي (متصلبة).
HP:0032218	Decreased CD4+ T cell proportion	انخفاض نسبة الخلايا التائية CD4+	نقص خلايا المناعة	انخفاض غير طبيعي في خلايا المساعدة CD3+CD4+، التي تُقاس كنسبة من إجمالي خلايا CD3+ الموجودة في الدم، مقارنة بنطاق مرجعي لجنس وفئة عمرية معينة. تُقاس هذه عادة ضمن الفئة الإيجابية لمستقبلات TCR ألفا/بيتا.
HP:0032219	Increased CD4+ T cell proportion	زيادة نسبة الخلايا التائية CD4+	زيادة خلايا المناعة	زيادة غير طبيعية في خلايا المساعدة CD3+CD4+، التي تُقاس كنسبة من إجمالي خلايا CD3+ الموجودة في الدم، مقارنة بنطاق مرجعي لجنس وفئة عمرية معينة. تُقاس هذه عادة ضمن الفئة الإيجابية لمستقبلات TCR ألفا/بيتا.
HP:0032220	Interface hepatitis	التهاب الكبد المتصالب	التهاب الكبد	التهاب في الكبد يتميز بتسلل الخلايا الوحيدية حيث تمتد الخلايا الالتهابية من بوابات المسار البابي إلى صفيحة الحدود بين المسار البابي ونسيج الكبد.
HP:0032221	Periportal emperipolesis	التهم البوابي المحيطي	نشاط خلايا الكبد غير طبيعي	ابتلاع الخلايا الليمفاوية بواسطة خلايا الكبد، الذي يحدث عادة في منطقة التهاب الكبد المتصالب.
HP:0032222	Serrated intestinal polyps	سلائل معوية مسننة	زوائد معوية	وجود عدة سلائل مسننة في الأمعاء. على عكس الأورام الغدية التقليدية، التي تكون متسرطنة بشكل موحد، فإن الغالبية العظمى من الآفات المسننة لا تحتوي على أي تسرطن. تشمل الفئة المسننة السلائل المفرطة التصنع، التي لا تعتبر مسببة للسرطان؛ السلائل المسننة الجالسة (وتسمى أيضاً الأورام الغدية المسننة الجالسة)؛ والأورام الغدية المسننة التقليدية. السلائل المسننة الجالسة أكبر في المتوسط وتقع غالباً في القولون القريب. السلائل المسننة الجالسة لها سطح أكثر عدم انتظام، ونمط على السطح أُطلق عليه شكل السحابة، وحواف غير واضحة مقارنة بالسلائل المفرطة التصنع. تحتوي السلائل المسننة الجالسة أيضاً على حفر كبيرة مفتوحة على السطح (حفر من النوع O) عند عرضها بتكبير.
HP:0032201	Rotator cuff tear	تمزق الكفة المدورة	تمزق أو انفصال الأوتار في الكتف	يصف مصطلح الكفة المدورة الأوتار التي تربط عضلات تحت الشوكة وفوق الشوكة والعضلة المدورة الصغيرة وعضلة تحت الأخرمية برأس العظمة العضدية. يحدث تمزق الكفة المدورة عادةً في منطقة اتصال الوتر بعظمة العضد، وخاصة عند الارتباط بنقطة فوق الشوكة والناتئ الأكبر للعظمة العضدية.
HP:0032202	Vulvar intraepithelial neoplasia	الورم الظاهري المستبطن في الفرج	آفة محتملة للسرطان في الفرج	يعتبر الورم الظاهري المستبطن في الفرج آفة سابقة لسرطان الخلايا الحرشفية في الفرج. يمكن أن يتطور عن طريق طريق مرتبط بفيروس الورم الحليمي البشري أو، بشكل أكثر شيوعًا، عن طريق آلية مستقلة غالبًا ما ترتبط بأمراض التهابية مزمنة مثل الحزاز المتصلب. هناك نوعان مختلفان من الورم الظاهري المستبطن: الورم الحرشفي الظاهري المرتبط بفيروس الورم الحليمي البشري (HSIL) والورم الظاهري المستبطن غير المرتبط بفيروس الورم الحليمي البشري (dVIN).
HP:0032203	Lymphoid nodular hyperplasia	تضخم العقد اللمفاوية العقدي	زيادة في العقد اللمفاوية في الأمعاء	يعتبر تضخم العقد اللمفاوية العقدي في الأمعاء الغليظة واللفائفي النهائي استجابة مخاطية لمحفزات غير محددة، وغالبًا ما تكون التهابات. يمكن الكشف عنه باستخدام تنظير القولون، حيث يُعرف العقدة اللمفاوية بأنها جُريْبة بارزة بقطر لا يزيد عن 2 مم، ويُعرف التضخم اللمفي العقدي كمجموعة لا تزيد عن 10 من هذه العقد البارزة.
HP:0032204	Chronic active Epstein-Barr virus infection	عدوى إبشتاين بار الفيروسية النشطة المزمنة	عدوى فيروسية مستمرة	تعد عدوى فيروس إبشتاين بار النشطة المزمنة نتيجة غير شائعة للعدوى بالفيروس وقد تظهر على شكل متلازمة متغيرة أو متسارعة. في هذه العدوى، يُختل توازن الفيروس والمضيف على عكس عدوى إبشتاين بار الحادة.
HP:0032205	Increased circulating galectin-3 level	زيادة مستويات الجلاكتين-3 في الدم	زيادة الجلاكتين-3 في الدم	زيادة مستويات الجلاكتين-3 في الدورة الدموية.
HP:0032208	Increased urinary type 1 collagen N-terminal telopeptide level	زيادة مستوى النهايات الطرفية للكولاجين النوع الأول في البول	زيادة منتج انهيار الكولاجين في البول	زيادة تركيز النهايات الطرفية للكولاجين النوع الأول (NTx) في البول. يتم إجراء الفحص عادةً على مدى فترة زمنية، مثل جمع 10 سم مكعب من البول في الصباح بعد صيام لمدة 12 ساعة خلال الليل أو لمدة 24 ساعة.
HP:0032209	Abnormal circulating free T3 concentration	تركيز T3 الحر غير الطبيعي في الدم	خلل في هرمون الغدة الدرقية T3 الحر	انحراف عن التركيز الطبيعي للهرمون الثلاثي يودوثيرونين الحر (T3) في الدورة الدموية. جزء من هرمون T3 مرتبط ببروتينات البلازما مثل الجلوبولين المرتبط بالثيروكسين والترانزثيريتين والألبومين، والهرمون غير المرتبط بالبروتين يُعرف بـ T3 الحر.
HP:0032210	Decreased circulating free T3	تناقص تركيز T3 الحر في الدم	انخفاض هرمون T3 الحر	تقليل في تركيز الهرمون الثلاثي يودوثيرونين في الدم.
HP:0032211	Increased urinary epithelial cell count	زيادة عدد الخلايا الظهارية في البول	زيادة الخلايا في البول	زيادة في عدد الخلايا الظهارية لكل حقل عالي القدرة في تحليل البول.
HP:0032212	Increased urinary squamous epithelial cell count	زيادة عدد خلايا البشرة الحرشفية في البول	زيادة الخلايا الحرشفية في البول	زيادة عدد خلايا البشرة الحرشفية لكل حقل عالي القدرة في تحليل البول.
HP:0008794	Dysplastic iliac wing	جناح الحرقفة التنسجي	عيب في جناح الحرقفة	مصطلح عام يصف وجود خلل خلقي في جناح الحرقفة ناتج عن تطور غير طبيعي.
HP:0008796	Femoral retroversion	رجوع الفخذ	الفخذين موجهين للخارج	دوران خلفي غير طبيعي للورك بالنسبة إلى الركبة، بحيث تكون الوركين موجهتين للخارج والقدم متجهة نحو الخارج بدلاً من الأمام مباشرة (مشية القدم للخارج).
HP:0008797	Early ossification of capital femoral epiphyses	التعظم المبكر لنهاية عظمي الفخذ الرأسي	التعظم المبكر لرأس الفخذ	تسارع تطور التعظم في النهاية القريبة لعظم الفخذ.
HP:0008798	Widened greater sciatic notch	توسع الشق الوركي الأكبر	توسع الشق الوركي	المفصل العجزي الحرقفي في الحوض العظمي يربط بين العجز والحرقفة في الحوض بواسطة أربطة قوية. يقع الشق مباشرةً فوق المفصل. يشير هذا المصطلح إلى زيادة في البعد الجانبي للشق.
HP:0008800	Limited hip movement	حركة محدودة للورك	حركة الورك محدودة	انخفاض القدرة على تحريك عظم الفخذ في مفصل الورك بسبب انخفاض في مدى حركة الورك.
HP:0008801	Hypoplasia of the lesser trochanter	نقص تنسج المدور الصغير	تقصير المدور الصغير	نقص نمو في المدور الصغير.
HP:0008802	Hypoplasia of the femoral head	نقص التنسج في رأس الفخذ	رأس الفخذ صغير	نقص نمو في رأس عظم الفخذ.
HP:0008804	Broad femoral head	رأس الفخذ العريض	رأس الفخذ العريض	زيادة في عرض رأس عظم الفخذ.
HP:0008807	Acetabular dysplasia	خلل التنسج الحقي	خلل التنسج الحقي	حوض أصغر من الطبيعي يؤدي إلى تغطية غير كافية لرأس الفخذ، مما يؤدي إلى ضغوط غير طبيعية على مفصل الورك، وعدم استقراره والشعور بالألم.
HP:0008808	High iliac wing	الجناح الحرقفي العالي	جناح الحرقفة العالي	زيادة في ارتفاع جناح الحرقفة (أو الآلة) الذي هو الجزء الكبير المتوسع الذي يحد الحوض الأكبر من الجوانب).
HP:0032223	Blood group	فصيلة الدم	نوع الدم	أي من الأنواع المختلفة لدم الإنسان التي تحدد خصائص المستضدات فيه مدى التوافق في عمليات النقل. بينما تعد نظم ABO و Rhesus الأكثر شهرةً، يوجد في المجموع حوالي 300 مستضد مختلف لفصائل الدم موزعة عبر 34 نظامًا مختلفًا لفصائل الدم.
HP:0032224	ABO blood group	فصائل الدم ABO	أنواع دم A و B و O	يتكون نظام ABO من مستضدات A و B وأجسام مضادة ضد هذه المستضدات.
HP:0032225	Perifollicular fibroma	ورم ليفي حول الجريب	ورم جلدي نادر حول الجريب	الورم الليفي حول الجريب هو ورم حميد نادر في الجلد يظهر تمايزًا في غمد النسيج الضام لبصيلات الشعر. يمكن أن يظهر كبثور منفردة أو كمجموعة من الآفات. ومن الناحية النسيجية، تتألف الآفة من ترتيب دائري لأنسجة ليفية خلوية حول جريب شعر طبيعي.
HP:0032226	Abnormal sebaceous gland morphology	تشوه في شكل الغدد الدهنية	تشوه في الغدد الدهنية	أي شذوذ هيكلي في الغدد الدهنية.
HP:0032227	Sebaceous hyperplasia	تضخم الغدد الدهنية	حالة جلدية غير ضارة مع تضخم في الغدد الدهنية	حالة جلدية شائعة وغير ضارة تتضمن تضخم الغدد الدهنية تتميز بآفات مفردة أو متعددة تظهر على شكل حطاطات صفراء ناعمة وصغيرة مع تقعر. توجد الآفات بشكل شائع على الوجه المركزي (خاصةً الأنف والخدين والجبهة) ولكن قد تحدث أيضًا في أماكن أخرى بما في ذلك الصدر والفم وكيس الصفن والعضو الذكري والمهبل والهالة.
HP:0032228	Trichodiscoma	تريخوديسكوما	ورم ليفي بسيط في الشعر	ورم ليفي وعائي صغير حميد في الجزء الجلدي من القرص الشعري. التريخوديسكوما عبارة عن ورم ليفي بسيط الشكل يشمل ورمًا ليفيًا ذا مكون وعائي بارز يملأ الأدمة الحليمية تحت البشرة الضامرة. كما في القرص الشعري الطبيعي، قد يوجد جريب شعر عند أحد أطراف الآفة الحطاطية.
HP:0032229	Perinuclear antineutrophil antibody positivity	إيجابية الأجسام المضادة حول النواة للعدلات	وجود أجسام مضادة للعدلات حول النواة	وجود الأجسام المضادة الذاتية في المصل التي تتفاعل مع البروتينات الموجودة أساسًا في المنطقة حول النواة للعدلات.
HP:0032230	Cytoplasmic antineutrophil antibody positivity	إيجابية الأجسام المضادة السيتوبلازمية للعدلات	وجود أجسام مضادة للعدلات في السيتوبلازم	وجود الأجسام المضادة الذاتية في المصل التي تتفاعل مع البروتينات الموجودة أساسًا في الحبيبات السيتوبلازمية للعدلات.
HP:0032231	Hypochromia	نقص الصباغ	خلايا الدم الحمراء أقل لونا	انطباع نوعي بأن خلايا الدم الحمراء أقل لونًا من العادة عند فحصها تحت المجهر، ويرتبط ذلك عادةً بكمية أقل من الهيموجلوبين في خلايا الدم الحمراء.
HP:0032232	Elevated circulating CK-MB concentration	ارتفاع تركيز CK-MB في الدم	زيادة CK-MB في الدم	تركيز CK-MB (= كرياتين كيناز MB) في دوران الدم يتجاوز الحد الأعلى للطبيعي.
HP:0032233	Increased circulating creatine kinase BB isoform	زيادة نسبة نظير كرياتين كيناز BB في الدم	ارتفاع كرياتين كيناز BB في الدم	زيادة تركيز نظير كرياتين كيناز BB في الدورة الدموية.
HP:0032234	Increased circulating creatine kinase MM isoform	زيادة نسبة نظير كرياتين كيناز MM في الدم	ارتفاع كرياتين كيناز MM في الدم	زيادة تركيز نظير كرياتين كيناز MM في الدورة الدموية.
HP:0032235	Anti-La/SS-B antibody positivity	إيجابية وجود أجسام مضادة ضد La/SS-B	وجود أجسام مضادة ضد La/SS-B	وجود أجسام مضادة ذاتية في الدورة الدموية تتفاعل ضد مولدات الضد الذاتية La/SSB.
HP:0032236	Increased circulating immature neutrophil count	زيادة عدد الخلايا النيوتروفيلية غير الناضجة في الدم	ارتفاع الخلايا النيوتروفيلية غير الناضجة في الدم	زيادة غير طبيعية في عدد الخلايا النيوتروفيلية غير الناضجة في الدورة الدموية المحيطية.
HP:0032237	Increased circulating myelocyte count	زيادة عدد الخلايا النقوية في الدم	ارتفاع الخلايا النقوية في الدم	عدد الخلايا النقوية في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. الخلايا النقوية هي خلايا نيوتروفيلية غير ناضجة بحجم من 12-18 ميكرومتر، ونواة دائرية أو بيضاوية بدون نووية، وسيتوبلازم بلون أزرق وردي مع حبيبات أولية وثانوية ونسبة نواة إلى سيتوبلازم 2:1.
HP:0032238	Increased circulating metamyelocyte count	زيادة عدد الخلايا النقوية المتزايدة في الدم	ارتفاع الخلايا النقوية المتزايدة في الدم	عدد الخلايا النقوية المتزايدة في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. الخلايا النقوية المتزايدة هي خلايا نيوتروفيلية غير ناضجة بحجم من 10-18 ميكرومتر، ونواة ذات شكل منحنى أو كلوي، وسيتوبلازم بلون أزرق وردي مع حبيبات ثانوية ونسبة نواة إلى سيتوبلازم 1.5:1.
HP:0032239	Increased circulating band cell count	زيادة عدد خلايا الشريط في الدم	ارتفاع خلايا الشريط في الدم	عدد خلايا الشريط في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. خلايا الشريط هي خلايا نيوتروفيلية غير ناضجة بحجم من 10-18 ميكرومتر، ونواة على شكل حدوة بدون نووية، وسيتوبلازم بلون وردي فاتح مع حبيبات ثانوية صغيرة ونسبة نواة إلى سيتوبلازم 1:2.
HP:0032240	Elevated circulating E selectin level	زيادة مستوى E سيليكتين في الدم	ارتفاع E سيليكتين في الدم	زيادة تركيز E سيليكتين في الدورة الدموية.
HP:0100792	Acantholysis	الإكانثولوسيس	فقدان ارتباط الخلايا في البشرة	فقدان الروابط بين الخلايا، مثل الديسموزومات، مما يؤدي إلى فقدان التماسك بين الخلايا الكيراتينية.
HP:0100795	Abnormally straight spine	استقامة العمود الفقري بشكل غير طبيعي	استقامة العمود الفقري	غياب الانحناء الطبيعي للعمود الفقري.
HP:0008812	Flattened femoral head	رأس الفخذ المسطح	رأس الفخذ المسطح	رأس الفخذ الذي يأخذ شكلًا مسطحًا بشكل غير طبيعي.
HP:0008817	Aplastic pubic bone	عظم العانة المتوقف عن التكون	عدم وجود عظام العانة	عيب تطوري يتسم بعدم تطور عظم العانة.
HP:0008818	Large iliac wing	الجناح الحرقفي الكبير	جناح حوض كبير	زيادة في حجم جناح الحرقفة.
HP:0008819	Narrow femoral neck	عنق الفخذ الضيق	عنق الفخذ الضيق	قطر عنق الفخذ المضيق بشكل غير طبيعي، وهو الجزء الذي يربط بين رأس الفخذ وجسم عظمة الفخذ.
HP:0008820	Absent ossification of capital femoral epiphysis	غياب تعظم المشاش الفخذي القمي	عدم تعظم رأس الفخذ	غياب التعظم في المشاش القريب لعظم الفخذ.
HP:0008821	Hypoplastic inferior ilia	الحرقفة السفلية ناقصة التنسج	الحرقفة السفلية ناقصة التنسج	
HP:0008822	Hypoplastic ischiopubic ramus	فرع العانة الإسكي ناقص التنسج	فرع العانة الإسكي غير مكتمل النمو	نقص تنسج فرع العانة الإسكي، والذي يتكون من الفرع العاني الناقص والأسفل للعارضة.
HP:0008823	Inferior pubic ramus hypoplasia	نقص تنسج الفرع العاني السفلي	نقص نمو الفرع العاني السفلي	نقص تنسج الفرع السفلي لعظم العانة.
HP:0008824	Hypoplastic iliac body	جسم الحرقفة ناقص التنسج	جسم الحرقفة غير مكتمل النمو	نقص تنسج جسم الحرقفة.
HP:0008828	Delayed proximal femoral epiphyseal ossification	التأخر في تعظم المشاش الفخذي القريب	تأخر تعظم رأس الفخذ	تأخر في تعظم المشاش القريب لعظم الفخذ.
HP:0100796	Orchitis	التهاب الخصية	التهاب الخصية	التهاب في الخصية.
HP:0100797	Toenail dysplasia	خلل تنسج أظافر القدم	تطور غير طبيعي لأظافر القدم	خلل في نمو وتطور أظافر القدم.
HP:0100798	Fingernail dysplasia	خلل تنسج أظافر اليد	تطور غير طبيعي لأظافر اليد	خلل في نمو وتطور أظافر اليد.
HP:0100799	Neoplasm of the middle ear	ورم الأذن الوسطى	ورم في الأذن الوسطى	ورم (نمو غير طبيعي للأنسجة) في الأذن الوسطى.
HP:0100800	Aplasia/Hypoplasia of the pancreas	انعدام/نقص تنسج البنكرياس	غياب/تطور غير كامل للبنكرياس	نقص تنسج خلقي (انعدام أو نقص تنسج) في البنكرياس.
HP:0100801	Pancreatic aplasia	انعدام البنكرياس	غياب البنكرياس	انعدام تنسج البنكرياس.
HP:0100802	Malposition of the stomach	خلل وضعية المعدة	مكان غير طبيعي للمعدة	مكان تشريحي غير طبيعي للمعدة، وقد يكون ذلك بسبب دوران معوي غير طبيعي.
HP:0100803	Abnormal periungual morphology	خلل شكل حول الأظافر	شكل غير طبيعي حول الأظافر	خلل في المنطقة المحيطة بأظافر الأصابع أو أصابع القدم.
HP:0100804	Ungual fibroma	ورم ليفي حول ظفري	ورم بجانب الظفر	حطاطة بلون اللحم في أو حول سرير الظفر. قد تكون الأورام الليفية حول الظفرية (تنشأ تحت ثنية الظفر القريبة) أو تحت الظفرية (تنشأ تحت صفيحة الظفر).
HP:0100806	Sepsis	الإنتان	عدوى في مجرى الدم	يُعرف الإنتان بأنه خلل وظيفي في الأعضاء يمثل خطرًا على الحياة ناتج عن استجابة غير منظمة للمضيف تجاه العدوى.
HP:0008829	Delayed femoral head ossification	تأخر تعظم رأس الفخذ	تأخر تطور رأس عظم الفخذ	تأخر في عملية التعظم لرأس عظم الفخذ.
HP:0008830	Hypoplastic pubic ramus	قوس العانة غير المكتمل النمو	عدم نمو جزء من عظم العانة	تطور ناقص لقوس (فرع) من عظم العانة.
HP:0008833	Irregular acetabular roof	سقف الحُق غير منتظم	سقف الحُق غير منتظم	سقف الحُق يتمتع بشكل غير منتظم وغالبًا ما يكون غير مكتمل الاستدارة.
HP:0008835	Multicentric femoral head ossification	تعظم رأس الفخذ متعدد المراكز	تعظم متعدد برأس عظم الفخذ	يوجد عادة مركز تعظم واحد في رأس عظم الفخذ. ينطبق هذا المصطلح إذا كان هناك مراكز تعظم متعددة.
HP:0008838	Stippled calcification proximal humeral epiphyses	تكلسات مرقطة في نهايات العظم العلوي للذراع	تكلسات منقطة في نهايات العظم العلوي للذراع	تعني وجود تكلسات على شكل بقع في الأطراف المحددة للعظم الطويل في الذراع العلوي.
HP:0008839	Hypoplastic pelvis	الحوض غير مكتمل النمو	قصر نمو الحوض	نمو غير كامل لعظام الحوض.
HP:0008843	Hip osteoarthritis	التهاب المفاصل التنكسي في الورك	خشونة المفاصل في الورك	يعد التهاب المفاصل التنكسي في الورك حالة تسبب تدمير الغضاريف المحيطة بمفصل الورك مما يؤدي إلى الألم والتيبس.
HP:0008845	Mesomelic short stature	قصر القامة الميذوميلي	قصر الأطراف الوسطى	نوع من قصر القامة غير المتناسب يتميز بقصر غير متناسب للجزء الأوسط من الأطراف (الساعِد أو الساق السفلية).
HP:0007879	Allergic conjunctivitis	التهاب الملتحمة التحسسي	حساسية العين	التهاب الملتحمة التحسسي هو التهاب تحسسي يصيب ملتحمة العين.
HP:0007880	Marginal corneal dystrophy	ضمور القرنية الهامشي	ضمور حافة القرنية	يقصد به تدهور تدريجي ومتزايد يؤثر على أطراف القرنية ويمكن أن يؤثر على حدة البصر.
HP:0100818	Long thorax	الصدر الطويل	القفص الصدري الطويل	زيادة الامتداد من الجزء السفلي إلى العلوي للصدر.
HP:0100819	Intestinal fistula	الناسور المعوي	اتصال غير طبيعي في الأمعاء	اتصال غير طبيعي بين الأمعاء وعضو مجوف آخر مثل المثانة أو الإحليل أو المهبل أو مناطق أخرى من الجهاز الهضمي.
HP:0100820	Glomerulopathy	اعتلال كبيبات الكلى	مرض بالكبيبات الكلوية	أمراض التهابية أو غير التهابية تؤثر على الكبيبات في النفرون.
HP:0100821	Urethrocele	هبوط الإحليل	انزلاق الإحليل في المهبل	انزلاق الإحليل الأنثوي إلى المهبل.
